"Pincode","State","District","Hospitalized","Deceased","Recovered","Date"
521212,"AP","krishna",6,0,0,2020-04-01
521003,"AP","krishna",6,0,0,2020-04-01
531149,"AP","visakhapatnam",10,0,1,2020-04-01
521226,"AP","krishna",6,0,0,2020-04-01
521164,"AP","krishna",6,0,0,2020-04-01
530011,"AP","visakhapatnam",10,0,1,2020-04-01
531126,"AP","visakhapatnam",10,0,1,2020-04-01
521241,"AP","krishna",6,0,0,2020-04-01
521170,"AP","krishna",6,0,0,2020-04-01
530052,"AP","visakhapatnam",10,0,1,2020-04-01
521108,"AP","krishna",6,0,0,2020-04-01
521403,"AP","krishna",6,0,0,2020-04-01
521130,"AP","krishna",6,0,0,2020-04-01
521125,"AP","krishna",6,0,0,2020-04-01
521107,"AP","krishna",6,0,0,2020-04-01
521229,"AP","krishna",6,0,0,2020-04-01
521104,"AP","krishna",6,0,0,2020-04-01
521246,"AP","krishna",6,0,0,2020-04-01
531127,"AP","visakhapatnam",10,0,1,2020-04-01
531111,"AP","visakhapatnam",10,0,1,2020-04-01
521120,"AP","krishna",6,0,0,2020-04-01
517421,"AP","chittoor",6,0,0,2020-04-01
530004,"AP","visakhapatnam",10,0,1,2020-04-01
521256,"AP","krishna",6,0,0,2020-04-01
521106,"AP","krishna",6,0,0,2020-04-01
520001,"AP","krishna",6,0,0,2020-04-01
517587,"AP","chittoor",6,0,0,2020-04-01
521180,"AP","krishna",6,0,0,2020-04-01
521263,"AP","krishna",6,0,0,2020-04-01
517520,"AP","chittoor",6,0,0,2020-04-01
517391,"AP","chittoor",6,0,0,2020-04-01
517599,"AP","chittoor",6,0,0,2020-04-01
517213,"AP","chittoor",6,0,0,2020-04-01
534330,"AP","westgodavari",13,0,0,2020-04-01
534244,"AP","westgodavari",13,0,0,2020-04-01
531030,"AP","visakhapatnam",10,0,1,2020-04-01
535273,"AP","visakhapatnam",10,0,1,2020-04-01
521126,"AP","krishna",6,0,0,2020-04-01
521136,"AP","krishna",6,0,0,2020-04-01
521002,"AP","krishna",6,0,0,2020-04-01
521345,"AP","krishna",6,0,0,2020-04-01
517586,"AP","chittoor",6,0,0,2020-04-01
521138,"AP","krishna",6,0,0,2020-04-01
517561,"AP","chittoor",6,0,0,2020-04-01
521202,"AP","krishna",6,0,0,2020-04-01
521247,"AP","krishna",6,0,0,2020-04-01
522412,"AP","guntur",9,0,0,2020-04-01
517408,"AP","chittoor",6,0,0,2020-04-01
517129,"AP","chittoor",6,0,0,2020-04-01
517112,"AP","chittoor",6,0,0,2020-04-01
517583,"AP","chittoor",6,0,0,2020-04-01
517131,"AP","chittoor",6,0,0,2020-04-01
517235,"AP","chittoor",6,0,0,2020-04-01
521286,"AP","krishna",6,0,0,2020-04-01
517536,"AP","chittoor",6,0,0,2020-04-01
517234,"AP","chittoor",6,0,0,2020-04-01
520003,"AP","krishna",6,0,0,2020-04-01
517569,"AP","chittoor",6,0,0,2020-04-01
517102,"AP","chittoor",6,0,0,2020-04-01
521131,"AP","krishna",6,0,0,2020-04-01
517350,"AP","chittoor",6,0,0,2020-04-01
535250,"AP","visakhapatnam",10,0,1,2020-04-01
535005,"AP","visakhapatnam",10,0,1,2020-04-01
530007,"AP","visakhapatnam",10,0,1,2020-04-01
531055,"AP","visakhapatnam",10,0,1,2020-04-01
531001,"AP","visakhapatnam",10,0,1,2020-04-01
531219,"AP","visakhapatnam",10,0,1,2020-04-01
521324,"AP","krishna",6,0,0,2020-04-01
521401,"AP","krishna",6,0,0,2020-04-01
521456,"AP","krishna",6,0,0,2020-04-01
521261,"AP","krishna",6,0,0,2020-04-01
521225,"AP","krishna",6,0,0,2020-04-01
521312,"AP","krishna",6,0,0,2020-04-01
521139,"AP","krishna",6,0,0,2020-04-01
520004,"AP","krishna",6,0,0,2020-04-01
534122,"AP","westgodavari",13,0,0,2020-04-01
521183,"AP","krishna",6,0,0,2020-04-01
530040,"AP","visakhapatnam",10,0,1,2020-04-01
517305,"AP","chittoor",6,0,0,2020-04-01
517640,"AP","chittoor",6,0,0,2020-04-01
522212,"AP","guntur",9,0,0,2020-04-01
520010,"AP","krishna",6,0,0,2020-04-01
517113,"AP","chittoor",6,0,0,2020-04-01
517414,"AP","chittoor",6,0,0,2020-04-01
517277,"AP","chittoor",6,0,0,2020-04-01
517326,"AP","chittoor",6,0,0,2020-04-01
517501,"AP","chittoor",6,0,0,2020-04-01
530044,"AP","visakhapatnam",10,0,1,2020-04-01
530012,"AP","visakhapatnam",10,0,1,2020-04-01
530024,"AP","visakhapatnam",10,0,1,2020-04-01
531019,"AP","visakhapatnam",10,0,1,2020-04-01
535145,"AP","visakhapatnam",10,0,1,2020-04-01
530046,"AP","visakhapatnam",10,0,1,2020-04-01
531114,"AP","visakhapatnam",10,0,1,2020-04-01
531021,"AP","visakhapatnam",10,0,1,2020-04-01
531082,"AP","visakhapatnam",10,0,1,2020-04-01
531084,"AP","visakhapatnam",10,0,1,2020-04-01
530018,"AP","visakhapatnam",10,0,1,2020-04-01
530005,"AP","visakhapatnam",10,0,1,2020-04-01
531002,"AP","visakhapatnam",10,0,1,2020-04-01
531163,"AP","visakhapatnam",10,0,1,2020-04-01
531033,"AP","visakhapatnam",10,0,1,2020-04-01
517194,"AP","chittoor",6,0,0,2020-04-01
518348,"AP","kurnool",1,0,0,2020-04-01
518432,"AP","kurnool",1,0,0,2020-04-01
518463,"AP","kurnool",1,0,0,2020-04-01
518422,"AP","kurnool",1,0,0,2020-04-01
530026,"AP","visakhapatnam",10,0,1,2020-04-01
531085,"AP","visakhapatnam",10,0,1,2020-04-01
521340,"AP","krishna",6,0,0,2020-04-01
518225,"AP","kurnool",1,0,0,2020-04-01
518511,"AP","kurnool",1,0,0,2020-04-01
518405,"AP","kurnool",1,0,0,2020-04-01
518395,"AP","kurnool",1,0,0,2020-04-01
518442,"AP","kurnool",1,0,0,2020-04-01
521185,"AP","krishna",6,0,0,2020-04-01
517620,"AP","chittoor",6,0,0,2020-04-01
521301,"AP","krishna",6,0,0,2020-04-01
521105,"AP","krishna",6,0,0,2020-04-01
521215,"AP","krishna",6,0,0,2020-04-01
534102,"AP","westgodavari",13,0,0,2020-04-01
517101,"AP","chittoor",6,0,0,2020-04-01
522414,"AP","guntur",9,0,0,2020-04-01
522403,"AP","guntur",9,0,0,2020-04-01
530016,"AP","visakhapatnam",10,0,1,2020-04-01
530022,"AP","visakhapatnam",10,0,1,2020-04-01
531026,"AP","visakhapatnam",10,0,1,2020-04-01
534342,"AP","westgodavari",13,0,0,2020-04-01
534237,"AP","westgodavari",13,0,0,2020-04-01
534411,"AP","westgodavari",13,0,0,2020-04-01
534227,"AP","westgodavari",13,0,0,2020-04-01
534225,"AP","westgodavari",13,0,0,2020-04-01
534426,"AP","westgodavari",13,0,0,2020-04-01
534210,"AP","westgodavari",13,0,0,2020-04-01
517351,"AP","chittoor",6,0,0,2020-04-01
530015,"AP","visakhapatnam",10,0,1,2020-04-01
531118,"AP","visakhapatnam",10,0,1,2020-04-01
531023,"AP","visakhapatnam",10,0,1,2020-04-01
531034,"AP","visakhapatnam",10,0,1,2020-04-01
530047,"AP","visakhapatnam",10,0,1,2020-04-01
530017,"AP","visakhapatnam",10,0,1,2020-04-01
534275,"AP","westgodavari",13,0,0,2020-04-01
517352,"AP","chittoor",6,0,0,2020-04-01
517390,"AP","chittoor",6,0,0,2020-04-01
517590,"AP","chittoor",6,0,0,2020-04-01
517297,"AP","chittoor",6,0,0,2020-04-01
517505,"AP","chittoor",6,0,0,2020-04-01
518350,"AP","kurnool",1,0,0,2020-04-01
518533,"AP","kurnool",1,0,0,2020-04-01
518573,"AP","kurnool",1,0,0,2020-04-01
531151,"AP","visakhapatnam",10,0,1,2020-04-01
531061,"AP","visakhapatnam",10,0,1,2020-04-01
521213,"AP","krishna",6,0,0,2020-04-01
521228,"AP","krishna",6,0,0,2020-04-01
521150,"AP","krishna",6,0,0,2020-04-01
518583,"AP","kurnool",1,0,0,2020-04-01
521327,"AP","krishna",6,0,0,2020-04-01
517172,"AP","chittoor",6,0,0,2020-04-01
518553,"AP","kurnool",1,0,0,2020-04-01
534003,"AP","westgodavari",13,0,0,2020-04-01
521132,"AP","krishna",6,0,0,2020-04-01
534350,"AP","westgodavari",13,0,0,2020-04-01
521158,"AP","krishna",6,0,0,2020-04-01
521162,"AP","krishna",6,0,0,2020-04-01
522510,"AP","guntur",9,0,0,2020-04-01
534447,"AP","westgodavari",13,0,0,2020-04-01
534467,"AP","westgodavari",13,0,0,2020-04-01
531173,"AP","visakhapatnam",10,0,1,2020-04-01
522509,"AP","guntur",9,0,0,2020-04-01
531083,"AP","visakhapatnam",10,0,1,2020-04-01
531087,"AP","visakhapatnam",10,0,1,2020-04-01
531162,"AP","visakhapatnam",10,0,1,2020-04-01
531032,"AP","visakhapatnam",10,0,1,2020-04-01
530043,"AP","visakhapatnam",10,0,1,2020-04-01
534329,"AP","westgodavari",13,0,0,2020-04-01
534195,"AP","westgodavari",13,0,0,2020-04-01
517589,"AP","chittoor",6,0,0,2020-04-01
517503,"AP","chittoor",6,0,0,2020-04-01
517193,"AP","chittoor",6,0,0,2020-04-01
517504,"AP","chittoor",6,0,0,2020-04-01
534269,"AP","westgodavari",13,0,0,2020-04-01
517502,"AP","chittoor",6,0,0,2020-04-01
522307,"AP","guntur",9,0,0,2020-04-01
517429,"AP","chittoor",6,0,0,2020-04-01
522421,"AP","guntur",9,0,0,2020-04-01
522256,"AP","guntur",9,0,0,2020-04-01
522034,"AP","guntur",9,0,0,2020-04-01
522201,"AP","guntur",9,0,0,2020-04-01
522202,"AP","guntur",9,0,0,2020-04-01
522435,"AP","guntur",9,0,0,2020-04-01
522626,"AP","guntur",9,0,0,2020-04-01
522614,"AP","guntur",9,0,0,2020-04-01
522009,"AP","guntur",9,0,0,2020-04-01
522619,"AP","guntur",9,0,0,2020-04-01
522660,"AP","guntur",9,0,0,2020-04-01
520012,"AP","krishna",6,0,0,2020-04-01
518464,"AP","kurnool",1,0,0,2020-04-01
521402,"AP","krishna",6,0,0,2020-04-01
522508,"AP","guntur",9,0,0,2020-04-01
521211,"AP","krishna",6,0,0,2020-04-01
522302,"AP","guntur",9,0,0,2020-04-01
521190,"AP","krishna",6,0,0,2020-04-01
522113,"AP","guntur",9,0,0,2020-04-01
534305,"AP","westgodavari",13,0,0,2020-04-01
534166,"AP","westgodavari",13,0,0,2020-04-01
534204,"AP","westgodavari",13,0,0,2020-04-01
518220,"AP","kurnool",1,0,0,2020-04-01
522233,"AP","guntur",9,0,0,2020-04-01
521149,"AP","krishna",6,0,0,2020-04-01
522002,"AP","guntur",9,0,0,2020-04-01
522258,"AP","guntur",9,0,0,2020-04-01
522613,"AP","guntur",9,0,0,2020-04-01
522411,"AP","guntur",9,0,0,2020-04-01
518216,"AP","kurnool",1,0,0,2020-04-01
530035,"AP","visakhapatnam",10,0,1,2020-04-01
535183,"AP","visakhapatnam",10,0,1,2020-04-01
534327,"AP","westgodavari",13,0,0,2020-04-01
534324,"AP","westgodavari",13,0,0,2020-04-01
534320,"AP","westgodavari",13,0,0,2020-04-01
517644,"AP","chittoor",6,0,0,2020-04-01
517422,"AP","chittoor",6,0,0,2020-04-01
522402,"AP","guntur",9,0,0,2020-04-01
522236,"AP","guntur",9,0,0,2020-04-01
522616,"AP","guntur",9,0,0,2020-04-01
522659,"AP","guntur",9,0,0,2020-04-01
522330,"AP","guntur",9,0,0,2020-04-01
522018,"AP","guntur",9,0,0,2020-04-01
522313,"AP","guntur",9,0,0,2020-04-01
522259,"AP","guntur",9,0,0,2020-04-01
522657,"AP","guntur",9,0,0,2020-04-01
517192,"AP","chittoor",6,0,0,2020-04-01
522649,"AP","guntur",9,0,0,2020-04-01
522102,"AP","guntur",9,0,0,2020-04-01
522341,"AP","guntur",9,0,0,2020-04-01
522268,"AP","guntur",9,0,0,2020-04-01
522016,"AP","guntur",9,0,0,2020-04-01
522317,"AP","guntur",9,0,0,2020-04-01
518594,"AP","kurnool",1,0,0,2020-04-01
521457,"AP","krishna",6,0,0,2020-04-01
522663,"AP","guntur",9,0,0,2020-04-01
520008,"AP","krishna",6,0,0,2020-04-01
522001,"AP","guntur",9,0,0,2020-04-01
522004,"AP","guntur",9,0,0,2020-04-01
522237,"AP","guntur",9,0,0,2020-04-01
522020,"AP","guntur",9,0,0,2020-04-01
522007,"AP","guntur",9,0,0,2020-04-01
522017,"AP","guntur",9,0,0,2020-04-01
521230,"AP","krishna",6,0,0,2020-04-01
530002,"AP","visakhapatnam",10,0,1,2020-04-01
530032,"AP","visakhapatnam",10,0,1,2020-04-01
522304,"AP","guntur",9,0,0,2020-04-01
522264,"AP","guntur",9,0,0,2020-04-01
522111,"AP","guntur",9,0,0,2020-04-01
522615,"AP","guntur",9,0,0,2020-04-01
522265,"AP","guntur",9,0,0,2020-04-01
522318,"AP","guntur",9,0,0,2020-04-01
522329,"AP","guntur",9,0,0,2020-04-01
522305,"AP","guntur",9,0,0,2020-04-01
522234,"AP","guntur",9,0,0,2020-04-01
522312,"AP","guntur",9,0,0,2020-04-01
522019,"AP","guntur",9,0,0,2020-04-01
522315,"AP","guntur",9,0,0,2020-04-01
522501,"AP","guntur",9,0,0,2020-04-01
522413,"AP","guntur",9,0,0,2020-04-01
522262,"AP","guntur",9,0,0,2020-04-01
518301,"AP","kurnool",1,0,0,2020-04-01
534448,"AP","westgodavari",13,0,0,2020-04-01
522213,"AP","guntur",9,0,0,2020-04-01
534452,"AP","westgodavari",13,0,0,2020-04-01
534260,"AP","westgodavari",13,0,0,2020-04-01
517571,"AP","chittoor",6,0,0,2020-04-01
517426,"AP","chittoor",6,0,0,2020-04-01
534215,"AP","westgodavari",13,0,0,2020-04-01
534238,"AP","westgodavari",13,0,0,2020-04-01
534318,"AP","westgodavari",13,0,0,2020-04-01
522647,"AP","guntur",9,0,0,2020-04-01
522308,"AP","guntur",9,0,0,2020-04-01
522408,"AP","guntur",9,0,0,2020-04-01
534199,"AP","westgodavari",13,0,0,2020-04-01
534250,"AP","westgodavari",13,0,0,2020-04-01
533437,"AP","eastgodavari",6,0,0,2020-04-01
522658,"AP","guntur",9,0,0,2020-04-01
533102,"AP","eastgodavari",6,0,0,2020-04-01
518222,"AP","kurnool",1,0,0,2020-04-01
518510,"AP","kurnool",1,0,0,2020-04-01
518010,"AP","kurnool",1,0,0,2020-04-01
518345,"AP","kurnool",1,0,0,2020-04-01
523245,"AP","prakasam",15,0,0,2020-04-01
518124,"AP","kurnool",1,0,0,2020-04-01
518007,"AP","kurnool",1,0,0,2020-04-01
518468,"AP","kurnool",1,0,0,2020-04-01
518349,"AP","kurnool",1,0,0,2020-04-01
518004,"AP","kurnool",1,0,0,2020-04-01
518006,"AP","kurnool",1,0,0,2020-04-01
522426,"AP","guntur",9,0,0,2020-04-01
522303,"AP","guntur",9,0,0,2020-04-01
522124,"AP","guntur",9,0,0,2020-04-01
522003,"AP","guntur",9,0,0,2020-04-01
522437,"AP","guntur",9,0,0,2020-04-01
522646,"AP","guntur",9,0,0,2020-04-01
522661,"AP","guntur",9,0,0,2020-04-01
534134,"AP","westgodavari",13,0,0,2020-04-01
534331,"AP","westgodavari",13,0,0,2020-04-01
534450,"AP","westgodavari",13,0,0,2020-04-01
518396,"AP","kurnool",1,0,0,2020-04-01
518598,"AP","kurnool",1,0,0,2020-04-01
534202,"AP","westgodavari",13,0,0,2020-04-01
534328,"AP","westgodavari",13,0,0,2020-04-01
534243,"AP","westgodavari",13,0,0,2020-04-01
534265,"AP","westgodavari",13,0,0,2020-04-01
534313,"AP","westgodavari",13,0,0,2020-04-01
534245,"AP","westgodavari",13,0,0,2020-04-01
533248,"AP","eastgodavari",6,0,0,2020-04-01
533005,"AP","eastgodavari",6,0,0,2020-04-01
533401,"AP","eastgodavari",6,0,0,2020-04-01
534312,"AP","westgodavari",13,0,0,2020-04-01
534156,"AP","westgodavari",13,0,0,2020-04-01
522311,"AP","guntur",9,0,0,2020-04-01
533006,"AP","eastgodavari",6,0,0,2020-04-01
533284,"AP","eastgodavari",6,0,0,2020-04-01
521111,"AP","krishna",6,0,0,2020-04-01
533105,"AP","eastgodavari",6,0,0,2020-04-01
533294,"AP","eastgodavari",6,0,0,2020-04-01
533216,"AP","eastgodavari",6,0,0,2020-04-01
507130,"AP","eastgodavari",6,0,0,2020-04-01
533406,"AP","eastgodavari",6,0,0,2020-04-01
533448,"AP","eastgodavari",6,0,0,2020-04-01
533214,"AP","eastgodavari",6,0,0,2020-04-01
533293,"AP","eastgodavari",6,0,0,2020-04-01
533306,"AP","eastgodavari",6,0,0,2020-04-01
521369,"AP","krishna",6,0,0,2020-04-01
521227,"AP","krishna",6,0,0,2020-04-01
521121,"AP","krishna",6,0,0,2020-04-01
521207,"AP","krishna",6,0,0,2020-04-01
523190,"AP","prakasam",15,0,0,2020-04-01
518390,"AP","kurnool",1,0,0,2020-04-01
518347,"AP","kurnool",1,0,0,2020-04-01
518135,"AP","kurnool",1,0,0,2020-04-01
518217,"AP","kurnool",1,0,0,2020-04-01
518002,"AP","kurnool",1,0,0,2020-04-01
534124,"AP","westgodavari",13,0,0,2020-04-01
533237,"AP","eastgodavari",6,0,0,2020-04-01
533255,"AP","eastgodavari",6,0,0,2020-04-01
533260,"AP","eastgodavari",6,0,0,2020-04-01
522603,"AP","guntur",9,0,0,2020-04-01
522410,"AP","guntur",9,0,0,2020-04-01
522401,"AP","guntur",9,0,0,2020-04-01
534315,"AP","westgodavari",13,0,0,2020-04-01
534301,"AP","westgodavari",13,0,0,2020-04-01
533016,"AP","eastgodavari",6,0,0,2020-04-01
533449,"AP","eastgodavari",6,0,0,2020-04-01
533309,"AP","eastgodavari",6,0,0,2020-04-01
521333,"AP","krishna",6,0,0,2020-04-01
517127,"AP","chittoor",6,0,0,2020-04-01
517423,"AP","chittoor",6,0,0,2020-04-01
533341,"AP","eastgodavari",6,0,0,2020-04-01
533101,"AP","eastgodavari",6,0,0,2020-04-01
534240,"AP","westgodavari",13,0,0,2020-04-01
521260,"AP","krishna",6,0,0,2020-04-01
521322,"AP","krishna",6,0,0,2020-04-01
521325,"AP","krishna",6,0,0,2020-04-01
533125,"AP","eastgodavari",6,0,0,2020-04-01
530003,"AP","visakhapatnam",10,0,1,2020-04-01
530009,"AP","visakhapatnam",10,0,1,2020-04-01
531020,"AP","visakhapatnam",10,0,1,2020-04-01
530028,"AP","visakhapatnam",10,0,1,2020-04-01
531011,"AP","visakhapatnam",10,0,1,2020-04-01
530014,"AP","visakhapatnam",10,0,1,2020-04-01
531081,"AP","visakhapatnam",10,0,1,2020-04-01
521109,"AP","krishna",6,0,0,2020-04-01
522438,"AP","guntur",9,0,0,2020-04-01
521311,"AP","krishna",6,0,0,2020-04-01
521163,"AP","krishna",6,0,0,2020-04-01
521133,"AP","krishna",6,0,0,2020-04-01
521201,"AP","krishna",6,0,0,2020-04-01
521329,"AP","krishna",6,0,0,2020-04-01
521214,"AP","krishna",6,0,0,2020-04-01
521135,"AP","krishna",6,0,0,2020-04-01
520011,"AP","krishna",6,0,0,2020-04-01
521148,"AP","krishna",6,0,0,2020-04-01
521343,"AP","krishna",6,0,0,2020-04-01
518360,"AP","kurnool",1,0,0,2020-04-01
518465,"AP","kurnool",1,0,0,2020-04-01
518401,"AP","kurnool",1,0,0,2020-04-01
518313,"AP","kurnool",1,0,0,2020-04-01
518513,"AP","kurnool",1,0,0,2020-04-01
534217,"AP","westgodavari",13,0,0,2020-04-01
534316,"AP","westgodavari",13,0,0,2020-04-01
533107,"AP","eastgodavari",6,0,0,2020-04-01
533446,"AP","eastgodavari",6,0,0,2020-04-01
533251,"AP","eastgodavari",6,0,0,2020-04-01
517424,"AP","chittoor",6,0,0,2020-04-01
533228,"AP","eastgodavari",6,0,0,2020-04-01
533431,"AP","eastgodavari",6,0,0,2020-04-01
533289,"AP","eastgodavari",6,0,0,2020-04-01
533408,"AP","eastgodavari",6,0,0,2020-04-01
533444,"AP","eastgodavari",6,0,0,2020-04-01
533222,"AP","eastgodavari",6,0,0,2020-04-01
533240,"AP","eastgodavari",6,0,0,2020-04-01
533296,"AP","eastgodavari",6,0,0,2020-04-01
533346,"AP","eastgodavari",6,0,0,2020-04-01
523328,"AP","prakasam",15,0,0,2020-04-01
523356,"AP","prakasam",15,0,0,2020-04-01
523112,"AP","prakasam",15,0,0,2020-04-01
533241,"AP","eastgodavari",6,0,0,2020-04-01
523286,"AP","prakasam",15,0,0,2020-04-01
523305,"AP","prakasam",15,0,0,2020-04-01
533220,"AP","eastgodavari",6,0,0,2020-04-01
533286,"AP","eastgodavari",6,0,0,2020-04-01
523253,"AP","prakasam",15,0,0,2020-04-01
523181,"AP","prakasam",15,0,0,2020-04-01
523227,"AP","prakasam",15,0,0,2020-04-01
523372,"AP","prakasam",15,0,0,2020-04-01
523167,"AP","prakasam",15,0,0,2020-04-01
523357,"AP","prakasam",15,0,0,2020-04-01
533249,"AP","eastgodavari",6,0,0,2020-04-01
523302,"AP","prakasam",15,0,0,2020-04-01
523370,"AP","prakasam",15,0,0,2020-04-01
523182,"AP","prakasam",15,0,0,2020-04-01
523368,"AP","prakasam",15,0,0,2020-04-01
523334,"AP","prakasam",15,0,0,2020-04-01
523271,"AP","prakasam",15,0,0,2020-04-01
518308,"AP","kurnool",1,0,0,2020-04-01
518206,"AP","kurnool",1,0,0,2020-04-01
518155,"AP","kurnool",1,0,0,2020-04-01
518003,"AP","kurnool",1,0,0,2020-04-01
523169,"AP","prakasam",15,0,0,2020-04-01
523316,"AP","prakasam",15,0,0,2020-04-01
518599,"AP","kurnool",1,0,0,2020-04-01
518145,"AP","kurnool",1,0,0,2020-04-01
518674,"AP","kurnool",1,0,0,2020-04-01
533445,"AP","eastgodavari",6,0,0,2020-04-01
518385,"AP","kurnool",1,0,0,2020-04-01
534401,"AP","westgodavari",13,0,0,2020-04-01
534455,"AP","westgodavari",13,0,0,2020-04-01
517237,"AP","chittoor",6,0,0,2020-04-01
517415,"AP","chittoor",6,0,0,2020-04-01
533343,"AP","eastgodavari",6,0,0,2020-04-01
531028,"AP","visakhapatnam",10,0,1,2020-04-01
530001,"AP","visakhapatnam",10,0,1,2020-04-01
530013,"AP","visakhapatnam",10,0,1,2020-04-01
522409,"AP","guntur",9,0,0,2020-04-01
522306,"AP","guntur",9,0,0,2020-04-01
522324,"AP","guntur",9,0,0,2020-04-01
530020,"AP","visakhapatnam",10,0,1,2020-04-01
531105,"AP","visakhapatnam",10,0,1,2020-04-01
531035,"AP","visakhapatnam",10,0,1,2020-04-01
530029,"AP","visakhapatnam",10,0,1,2020-04-01
530031,"AP","visakhapatnam",10,0,1,2020-04-01
531027,"AP","visakhapatnam",10,0,1,2020-04-01
522439,"AP","guntur",9,0,0,2020-04-01
533577,"AP","eastgodavari",6,0,0,2020-04-01
533247,"AP","eastgodavari",6,0,0,2020-04-01
533308,"AP","eastgodavari",6,0,0,2020-04-01
533201,"AP","eastgodavari",6,0,0,2020-04-01
533252,"AP","eastgodavari",6,0,0,2020-04-01
533211,"AP","eastgodavari",6,0,0,2020-04-01
533440,"AP","eastgodavari",6,0,0,2020-04-01
533242,"AP","eastgodavari",6,0,0,2020-04-01
533428,"AP","eastgodavari",6,0,0,2020-04-01
533287,"AP","eastgodavari",6,0,0,2020-04-01
533447,"AP","eastgodavari",6,0,0,2020-04-01
521366,"AP","krishna",6,0,0,2020-04-01
521165,"AP","krishna",6,0,0,2020-04-01
521101,"AP","krishna",6,0,0,2020-04-01
521326,"AP","krishna",6,0,0,2020-04-01
521137,"AP","krishna",6,0,0,2020-04-01
521344,"AP","krishna",6,0,0,2020-04-01
522325,"AP","guntur",9,0,0,2020-04-01
522235,"AP","guntur",9,0,0,2020-04-01
522617,"AP","guntur",9,0,0,2020-04-01
518346,"AP","kurnool",1,0,0,2020-04-01
521250,"AP","krishna",6,0,0,2020-04-01
521178,"AP","krishna",6,0,0,2020-04-01
521332,"AP","krishna",6,0,0,2020-04-01
521390,"AP","krishna",6,0,0,2020-04-01
517645,"AP","chittoor",6,0,0,2020-04-01
517152,"AP","chittoor",6,0,0,2020-04-01
520013,"AP","krishna",6,0,0,2020-04-01
522211,"AP","guntur",9,0,0,2020-04-01
517214,"AP","chittoor",6,0,0,2020-04-01
517126,"AP","chittoor",6,0,0,2020-04-01
517416,"AP","chittoor",6,0,0,2020-04-01
521331,"AP","krishna",6,0,0,2020-04-01
521321,"AP","krishna",6,0,0,2020-04-01
530049,"AP","visakhapatnam",10,0,1,2020-04-01
530053,"AP","visakhapatnam",10,0,1,2020-04-01
521153,"AP","krishna",6,0,0,2020-04-01
521323,"AP","krishna",6,0,0,2020-04-01
520002,"AP","krishna",6,0,0,2020-04-01
533285,"AP","eastgodavari",6,0,0,2020-04-01
521151,"AP","krishna",6,0,0,2020-04-01
521110,"AP","krishna",6,0,0,2020-04-01
517236,"AP","chittoor",6,0,0,2020-04-01
517291,"AP","chittoor",6,0,0,2020-04-01
517541,"AP","chittoor",6,0,0,2020-04-01
517128,"AP","chittoor",6,0,0,2020-04-01
517418,"AP","chittoor",6,0,0,2020-04-01
517004,"AP","chittoor",6,0,0,2020-04-01
517642,"AP","chittoor",6,0,0,2020-04-01
517132,"AP","chittoor",6,0,0,2020-04-01
517551,"AP","chittoor",6,0,0,2020-04-01
534123,"AP","westgodavari",13,0,0,2020-04-01
533264,"AP","eastgodavari",6,0,0,2020-04-01
533001,"AP","eastgodavari",6,0,0,2020-04-01
534280,"AP","westgodavari",13,0,0,2020-04-01
