"State","Pincode","District","Hospitalized","Deaths","Recovered","S_Hospitalized","S_Deaths","S_Recovered","C_Hospitalized","C_Deaths","C_Recovered"
"AP",521139,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521180,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517401,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517423,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517351,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517297,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517640,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517326,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517506,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",531163,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",521403,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",520004,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521230,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517002,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517247,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",522646,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522202,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522019,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522034,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522601,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",517432,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517129,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517586,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517128,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517591,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517571,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517502,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517421,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",533107,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533462,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",517280,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",533446,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533248,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",517132,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517172,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517583,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",520002,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521321,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",533237,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",522659,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522612,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522004,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522308,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522235,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522314,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",531219,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",522439,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522402,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522647,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522413,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522657,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522112,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522603,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522436,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522264,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522325,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522261,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",522658,"Guntur",9,0,0,66,0,1,1179,14,40
"AP",520015,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",521178,"Krishna",6,0,0,66,0,1,1179,14,40
"AP",517193,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517112,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517507,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517643,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517291,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517319,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",517277,"Chittoor",6,0,0,66,0,1,1179,14,40
"AP",533408,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",534328,"West Godavari",13,0,0,66,0,1,1179,14,40
"AP",534350,"West Godavari",13,0,0,66,0,1,1179,14,40
"AP",534312,"West Godavari",13,0,0,66,0,1,1179,14,40
"AP",534301,"West Godavari",13,0,0,66,0,1,1179,14,40
"AP",534320,"West Godavari",13,0,0,66,0,1,1179,14,40
"AP",534218,"West Godavari",13,0,0,66,0,1,1179,14,40
"AP",530007,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",530044,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",531029,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",518222,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",518347,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",518005,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",518467,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",518344,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",518553,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",533250,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533215,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533223,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533295,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533244,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",533229,"East Godavari",6,0,0,66,0,1,1179,14,40
"AP",518432,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",518155,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",518390,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",518502,"Kurnool",1,0,0,66,0,1,1179,14,40
"AP",530024,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
"AP",530048,"Visakhapatnam",10,0,1,66,0,1,1179,14,40
