"","District"
"63341","HOSHANGABAD"
"63342","HARDA"
"63343","NARSINGHPUR"
"63372","Hoshangabad"
"63383","SEHORE"
"63772","SATNA"
"63775","REWA"
"64399","DAMOH"
"64401","SAGAR"
"64438","DATIA"
"64796","ANUPPUR"
"64797","UMARIA"
"64798","SHAHDOL"
"64802","SIDHI"
"64815","SINGRAULI"
"65320","VIDISHA"
"65674","ASHOK NAGAR"
"65675","SHIVPURI"
"65689","GUNA"
"66090","GWALIOR"
"66380","INDORE"
"66400","Indore"
"66425","DEWAS"
"66430","DHAR"
"66923","KATNI"
"66924","JABALPUR"
"67322","KHANDWA"
"67323","KHARGONE"
"67324","BARWANI"
"67330","BURHANPUR"
"67847","NEEMUCH"
"67848","MANDSAUR"
"68095","Neemuch"
"68182","BHIND"
"68183","MORENA"
"68185","SHEOPUR"
"68513","AGAR MALWA"
"68705","RATLAM"
"68707","JHABUA"
"68708","ALIRAJPUR"
"68836","RAJGARH"
"69391","UJJAIN"
"69393","SHAJAPUR"
"69758","MANDLA"
"69759","DINDORI"
"69988","JALNA"
"70478","BEED"
"70808","Jalgaon"
"70828","BHUSAWAL"
"71047","DHULE"
"71054","NANDURBAR"
"71520","JALGAON"
"71763","JALGOAN"
"71817","NANDED"
"72287","LATUR"
"72288","OSMANABAD"
"72858","HINGOLI"
"72861","PARBHANI"
"73206","SOUTH GOA"
"73208","NORTH GOA"
"73464","Kolhapur"
"74028","RATNAGIRI"
"74236","Ratnagiri"
"74246","RAIGARH(MH)"
"74691","Sangli"
"75042","Miraj"
"75110","SINDHUDURG"
"75481","MUMBAI"
"75517","MUMBAI SUBUEBAN"
"75716","AKOLA"
"75718","WASHIM"
"76115","AMRAVATI"
"76569","BULDHANA"
"76922","GADCHIROLI"
"76923","CHANDRAPUR"
"76924","Gadchiroli"
"77233","Chandrapur"
"77580","Nagpur"
"77646","NAGPUR"
"77649","GONDIA"
"77652","BHANDARA"
"78231","WARDHA"
"78414","Yavatmal"
"78790","Malegaon"
"79037","NASHIK"
"79277","Nashik"
"79461","THANE"
"79591","PALGHAR"
"80344","AHMED NAGAR"
"80701","SOLAPUR"
"80873","PUNE"
"80979","Pune"
"81771","SATARA"
"82437","Ahmed Nagar"
"82475","Shrirampur"
"83002","Imphal West"
"83003","Churachandpur"
"83004","Thoubal"
"83007","Ukhrul"
"83008","Tamenglong"
"83009","Chandel"
"83020","Imphal East"
"83022","Bishnupur"
"83042","Senapati"
"83228","Tengnoupal"
"83372","Imphal"
"83451","Jiribam"
"83623","THANLON"
"83715","Aizawl"
"83717","Mammit"
"83718","Lunglei"
"83723","Kolasib"
"83725","Lawngtlai"
"83728","Champhai"
"83737","Saiha"
"83747","Serchhip"
"83796","Aizawal"
"83835","Mamit"
"84147","Zunhebotto"
"84148","Dimapur"
"84149","Wokha"
"84151","Phek"
"84153","Zunheboto"
"84154","Mokokchung"
"84157","Kiphire"
"84159","Tuensang"
"84160","Mon"
"84167","Kohima"
"84170","Peren"
"84177","Longleng"
"84480","South Tripura"
"84482","West Tripura"
"84505","Gomati"
"84531","Sepahijala"
"84631","Agartala "
"84858","Gomti"
"84885","Lower Dibang Valley"
"84886","East Siang"
"84887","Dibang Valley"
"84888","West Siang"
"84889","Lohit"
"84893","Papum Pare"
"84896","Tawang"
"84899","West Kameng"
"84902","East Kameng"
"84910","Lower Subansiri"
"84915","Changlang"
"84916","Tirap"
"84921","Kurung Kumey"
"84930","Upper Siang"
"84936","Upper Subansiri"
"84954","Upper Dibang Valley"
"84967","LOWER SUBANSIRI"
"84986","PAPUM PARE"
"85061","CHANGLANG"
"85193","Dhalai"
"85195","North Tripura"
"85223","Khowai"
"85225","Dharmanagar"
"85518","West Garo Hills"
"85519","Jaintia Hills"
"85525","East Khasi Hills"
"85526","South Garo Hills"
"85530","East Garo Hills"
"85536","Ri Bhoi"
"85543","Shillong"
"85552","West Khasi Hills"
"85565","Tura"
"85803","West Jaintia Hills"
"85819","South West Khasi Hills"
"85881","East Jaintia Hills"
"86025","KHORDA"
"86026","BALESWAR"
"86096","BALASORE"
"86495","BHADRAK"
"86615","KENDUJHAR"
"87165","CUTTACK"
"87377","JAJAPUR"
"87379","KENDRAPARA"
"87882","JAGATSINGHAPUR"
"88169","Cuttack"
"88364","MAYURBHANJ"
"88393","NABARANGAPUR"
"89076","PURI"
"89077","NAYAGARH"
"89564","GANJAM"
"89589","KANDHAMAL"
"89873","GAJAPATI"
"90256","KALAHANDI"
"90257","NUAPADA"
"90675","KORAPUT"
"90680","MALKANGIRI"
"90693","RAYAGADA"
"91229","BOUDH"
"91505","Kandhamal"
"91954","BALANGIR"
"91958","SONAPUR"
"92340","ANGUL"
"92342","DHENKANAL"
"93254","SAMBALPUR"
"93255","BARGARH"
"93258","JHARSUGUDA"
"93261","DEBAGARH"
"93786","SUNDERGARH"
"94242","ROPAR"
"94243","CHANDIGHAR"
"94254","MOHALI"
"94260","RUPNAGAR"
"94306","MOGA"
"94508","LUDHIANA"
"94900","FATEHGARH SAHIB"
"94901","PATIALA"
"95173","SANGRUR"
"95445","AMRITSAR"
"95447","TARN TARAN"
"95918","BATHINDA"
"95919","MANSA"
"96002","BARNALA"
"96174","MUKTSAR"
"96180","FARIDKOT"
"96512","FAZILKA"
"96514","FIROZPUR"
"96669","Ferozepur"
"96817","PATHANKOT"
"96818","GURDASPUR"
"97094","HOSHIARPUR"
"97498","JALANDHAR"
"97502","NAWANSHAHR"
"97822","KAPURTHALA"
"98113","ALWAR"
"98246","BANSWARA"
"98597","BHARATPUR"
"98904","DHOLPUR"
"99187","JAIPUR"
"99291","Jaipur"
"99298","DAUSA"
"100003","SAWAI MADHOPUR"
"100006","KARAULI"
"100325","KOTA"
"100464","AJMER"
"100873","BHILWARA"
"101268","PRATAPGHAR"
"101269","CHITTORGARH"
"101373","PALI"
"101713","DUNGARPUR"
"102276","BARAN"
"102277","JHALAWAR"
"102903","BUNDI"
"102907","TONK"
"103292","RAJSAMAND"
"103302","UDAIPUR"
"103967","BARMER"
"104448","BIKANER"
"104716","CHURU"
"105061","JHUJHUNU"
"105473","JODHPUR"
"105474","JAISALMER"
"106030","NAGAUR"
"106946","SIKAR"
"107416","SIROHI"
"107421","JALOR"
"107859","SRI GANGANAGAR"
"107877","HANUMANGARH"
"108343","SRIGANGANAGAR"
"108423","CUDDALORE"
"108512","VILLUPURAM"
"108539","NAGAPATTINAM"
"108719","PERAMBALUR"
"108780","DHARMAPURI"
"108784","KARUR"
"108785","TIRUCHIRAPPALLI"
"108795","TIRUPPUR"
"108892","SIVAGANGA"
"108929","PUDUKKOTTAI"
"109053","DINDIGUL"
"109115","TIRUVARUR"
"109116","THANJAVUR"
"109526","KARAIKAL"
"109622","Nagapattinam"
"110527","ARIYALUR"
"110570","SALEM"
"111398","Ariyalur"
"111710","VELLORE"
"111933","Chennai"
"111962","TIRUVANNAMALAI"
"112011","Vellore"
"112174","KANCHIPURAM"
"112175","Kanchipuram"
"112416","CHENNAI"
"112493","TIRUVALLUR"
"112832","Tiruvallur"
"112871","PONDICHERRY"
"114586","KANYAKUMARI"
"114922","RAMANATHAPURAM"
"114971","TUTICORIN"
"114972","TIRUNELVELI"
"115144","Tirunelveli"
"115243","VIRUDHUNAGAR"
"115317","MADURAI"
"116154","THENI"
"117281","COIMBATORE"
"117476","KRISHNAGIRI"
"117713","ERODE"
"117745","NAMAKKAL"
"118405","Salem"
"118540","Namakkal"
"118679","NILGIRIS"
"118711","Nilgiris"
"120300","HYDERABAD"
"120303","RANGAREDDY"
"120309","Rangareddy"
"120354","Hyderabad"
"120379","Ranga Reddy"
"120525","SIDDIPET"
"120527","MEDAK"
"120728","KARIM NAGAR"
"120789","Mancherial"
"120811","SANGAREDDY"
"120837","ZAHEERABAD"
"121049","KHAMMAM"
"121118","Vikarabad"
"121175","Trimulgherry"
"121208","NALGONDA"
"121233","Secunderabad"
"121285","K.V.Rangareddy"
"121420","MANCHERIAL"
"121422","ADILABAD"
"121430","NIRMAL"
"121843","WARANGAL"
"121937","Parkal"
"121938","Hanamkonda"
"121940","Jangaon"
"121947","JAYASHANKAR"
"122092","BHUPALPALLI"
"122362","SIRCILLA"
"122363","JAGTIAL"
"122577","PEDDAPALLI"
"122804","KOTHAGUDEM"
"122817","KOTHAGUDEM COLLS"
"122913","BHADRACHALAM"
"123415","MAHABUB NAGAR"
"123419","GADWAL"
"123423","WANAPARTHY"
"123428","VIKARABAD"
"123525","Mahabub Nagar"
"123652","Gadwal"
"123827","BHONGIR"
"123837","JANGAON"
"124217","NIZAMABAD"
"124218","KAMAREDDY"
"124996","SURYAPET"
"125339","NAGAR KURNOOL"
"125439","STN. JADCHERLA"
"125782","MAHABUBABAD"
"125845","Warangal Rural"
"125868","Mahabubabad"
"125886","Mahabuababad"
"126120","AGRA"
"126475","ALIGARH"
"126478","HATHRAS"
"126487","Aligarh"
"126633","BULANDSHAHR"
"126806","ALLAHABAD"
"127227","GAUTAM BUDDHA NAGAR"
"127328","ETAH"
"127329","KANSHIRAM NAGAR"
"127635","ETAWAH"
"127636","AURAIYA"
"127968","JHANSI"
"127970","JALAUN"
"127981","LALITPUR"
"128030","HAPUR"
"128580","FIROZABAD"
"128581","MAINPURI"
"128638","FAIZABAD"
"128701","RAEBARELI"
"128913","MATHURA"
"129164","KAUSHAMBI"
"129195","Prayagraj Allahabad"
"129345","KUSHINAGAR"
"129710","GHAZIPUR"
"129771","VARANASI"
"130090","SONBHADRA"
"130091","MIRZAPUR"
"130428","PRATAPGARH"
"130787","KANPUR DEHAT"
"130793","SULTANPUR"
"130794","AMETHI"
"131292","PILIBHIT"
"131293","BAREILLY"
"131472","Pilibhit"
"131727","BIJNOR"
"132030","BUDAUN"
"132354","HARDOI"
"132687","KHERI"
"133074","MEERUT"
"133076","BAGPAT"
"133473","AMROHA"
"133474","SAMBHAL"
"133475","RAMPUR"
"133476","MORADABAD"
"133809","KANPUR NAGAR"
"133958","MUZAFFARNAGAR"
"134278","SAHARANPUR"
"134298","HARIDWAR"
"134490","SHAHJAHANPUR"
"134553","Shahjahanpur"
"134687","SANT RAVIDAS NAGAR"
"134792","AZAMGARH"
"134793","MAU"
"135401","SHRAWASTI"
"135402","BAHRAICH"
"135793","SIDDHARTHNAGAR"
"135794","BASTI"
"135808","SANT KABIR NAGAR"
"136485","DEORIA"
"136993","GONDA"
"137531","GORAKHPUR"
"137532","MAHARAJGANJ"
"137540","MAHRAJGANJ"
"137870","Gorakhpur"
"137905","Maharajganj"
"138149","BANDA"
"138151","CHITRAKOOT"
"138152","MAHOBA"
"138162","HAMIRPUR"
"138668","KANNAUJ"
"138669","FARRUKHABAD"
"138972","FATEHPUR"
"139403","UNNAO"
"139976","BARABANKI"
"140341","AMBEDKAR NAGAR"
"141039","GHAZIABAD"
"141321","LUCKNOW"
"141471","Lucknow"
"142055","SITAPUR"
"142474","BALLIA"
"142828","JAUNPUR"
"143249","CHANDAULI"
"143282","Varanasi"
"143792","ALMORA"
"143800","BAGESHWAR"
"144263","CHAMOLI"
"144264","RUDRAPRAYAG"
"144657","DEHRADUN"
"145014","NAINITAL"
"145061","CHAMPAWAT"
"145126","UDHAM SINGH NAGAR"
"145191","PAURI GARHWAL"
"145720","PITHORAGARH"
"146122","TEHRI GARHWAL"
"146129","UTTARKASHI"
"146514","EAST SIKKIM"
"146517","WEST SIKKIM"
"146520","SOUTH SIKKIM"
"146555","NORTH SIKKIM"
"146723","South Andaman"
"146724","North And Middle Andaman"
"146733","Nicobar"
"146752","Port Blair"
"146777","North & Middle Andaman"
"146829","Kolkata"
"146832","NORTH 24 PARGANAS"
"147330","BIRBHUM"
"147807","KOLKATA"
"147860","SOUTH 24 PARGANAS"
"147885","North 24 Parganas"
"147982","MURSHIDABAD"
"148147","MEDINIPUR"
"148560","NADIA"
"150032","COOCH BEHAR"
"150034","JALPAIGURI"
"150394","DARJILING"
"150404","EAST MIDNAPORE"
"150424","Darjeeling"
"150446","Kalimpong"
"150476","WEST MIDNAPORE"
"150617","SOUTH DINAJPUR"
"150618","NORTH DINAJPUR"
"150742","MALDA"
"151626","BARDHAMAN"
"151722","Paschim Bardhaman"
"151836","BANKURA"
"151867","Bankura"
"153303","HOOGHLY"
"153810","HOWRAH"
"154801","PURULIYA"
